Class,Port Wgt,Bench Wgt,Port Ret,Bench Ret,Allocation,Selection,Interaction,Total Effect
Data Centers,0.13,0.125,2.1864033461666286,2.1864033461666286,0.003425353391441277,0.0,0.0,0.003425353391441277
Healthcare,0.1,0.125,3.5174532483043732,3.5174532483043732,-0.05040301451064998,0.0,-0.0,-0.05040301451064998
Industrial,0.15,0.125,2.8487942646100413,2.8487942646100413,0.03368653991829168,0.0,0.0,0.03368653991829168
Office,0.08,0.125,-0.22033420883794097,-0.22033420883794097,0.07747500945223416,0.0,-0.0,0.07747500945223416
Residential,0.16999999999999998,0.125,0.7155424737294258,0.7040580873042726,-0.03587735612583454,0.0014355483031441574,0.0005167973891318965,-0.033925010433558486
Retail,0.18,0.125,0.7683943192485754,0.7836564819389957,-0.03947219022666579,-0.0019077703363025444,-0.0008394189479731195,-0.04221937951094145
Storage,0.09,0.125,1.3150195876684272,1.3150195876684272,0.006520957807348133,0.0,-0.0,0.006520957807348133
Towers,0.1,0.125,0.8756105358721915,0.8756105358721915,0.015643053300154555,0.0,-0.0,0.015643053300154555
TOTAL,1.0,1.0,,,0.010998353006319503,-0.00047222203315838707,-0.000322621558841223,0.010203509414319897
